Age,Gender,Country,AppliedAmount,Amount,Interest,LoanDuration,MonthlyPayment,UseOfLoan,Education,MaritalStatus,NrOfDependants,EmploymentStatus,EmploymentDurationCurrentEmployer,OccupationArea,HomeOwnershipType,IncomeFromPrincipalEmployer,IncomeFromPension,IncomeFromFamilyAllowance,IncomeFromSocialWelfare,IncomeFromLeavePay,IncomeFromChildSupport,IncomeOther,IncomeTotal,ExistingLiabilities,LiabilitiesTotal,DebtToIncome,FreeCash,PlannedInterestTillDate,Status,NoOfPreviousLoansBeforeLoan,AmountOfPreviousLoansBeforeLoan,PreviousRepaymentsBeforeLoan,PreviousEarlyRepaymentsBefoleLoan,PreviousEarlyRepaymentsCountBeforeLoan
49,1,1,2500,1780,73,60,166,2,4,1,2,4,2,14,4,1000,0,0,0,0,0,600,1600,2,523,21,309,1776,1,1,1500,123,4755,2
45,1,0,1000,1000,16,6,177,2,4,1,1,3,1,10,1,681,0,0,0,45,0,100,826,2,358,34,290,57,0,0,0,0,1000,1
38,0,0,530,530,27,60,17,5,4,1,2,3,6,3,8,900,0,0,0,0,0,0,900,8,807,48,75,530,0,0,0,0,0,0
64,0,1,1000,1000,61,6,201,7,4,3,0,4,6,7,1,0,0,0,0,0,0,1200,1200,1,360,16,638,118,0,0,0,0,1500,1
48,0,1,1500,1500,92,18,162,7,4,3,0,3,1,1,2,1200,0,0,0,0,0,0,1200,10,1076,68,18,1402,1,1,1600,280,2000,2
46,1,0,3000,3000,20,24,163,5,5,1,0,3,5,7,1,567,0,0,0,0,0,0,567,5,590,54,5,728,0,1,2500,1566,3000,1
48,0,1,3720,1455,57,60,196,7,1,3,1,3,6,1,3,949,0,0,0,0,0,0,949,1,350,20,402,518,0,0,0,0,0,0
48,1,1,1595,1595,59,60,87,7,4,3,0,3,4,9,2,1037,0,0,0,0,0,0,1037,7,1449,62,43,1595,1,0,0,0,0,0
53,0,2,4250,3485,32,60,154,5,3,1,0,3,6,10,8,3000,0,0,0,0,0,0,3000,9,3130,63,91,21,0,0,0,0,0,0
56,1,0,3000,3000,17,60,81,2,4,5,0,3,6,1,1,480,211,0,42,0,0,0,733,10,739,57,60,16,0,2,1800,626,1000,1
